CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_Yes,Online Backup_Yes,Device Protection_Yes,Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Payment Risk Category,Tenure Group
6047-YHPVI,Los Angeles,1,0,0,1,5,1,1,69.7,316.9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
5380-WJKOV,Los Angeles,1,0,0,1,34,1,1,106.35,3549.25,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,High Risk,Long term
8168-UQWWF,Los Angeles,0,0,0,1,11,1,1,97.85,1105.4,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,Low Risk,New
7760-OYPDY,Los Angeles,0,0,0,1,2,1,1,80.65,144.15,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,High Risk,New
9420-LOJKX,Los Angeles,0,0,0,1,15,1,1,99.1,1426.4,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,Low Risk,Medium
7495-OOKFY,Los Angeles,0,1,1,1,8,1,1,80.65,633.3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,Low Risk,New
1658-BYGOY,Los Angeles,1,1,0,1,18,1,1,95.45,1752.55,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,High Risk,Medium
5698-BQJOH,Beverly Hills,0,0,0,1,9,1,0,94.4,857.25,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,High Risk,New
5919-TMRGD,Huntington Park,0,0,0,1,1,1,1,79.35,79.35,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,High Risk,New
9191-MYQKX,Lynwood,0,0,1,1,7,1,1,75.15,496.9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Low Risk,New
8637-XJIVR,Marina Del Rey,0,0,0,1,12,1,1,78.95,927.35,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,High Risk,New
0278-YXOOG,Inglewood,1,0,0,0,5,1,0,21.05,113.85,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
4598-XLKNJ,Inglewood,0,1,1,1,25,1,1,98.5,2514.5,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,High Risk,Long term
3192-NQECA,Santa Monica,1,0,1,0,68,1,1,110.0,7611.85,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,Low Risk,Long term
0486-HECZI,Torrance,1,0,1,1,55,1,1,96.75,5238.9,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,High Risk,Long term
4846-WHAFZ,Whittier,0,1,1,1,37,1,1,76.5,2868.15,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,Long term
5299-RULOA,Whittier,0,0,1,1,10,1,1,100.25,1064.65,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,High Risk,New
0404-SWRVG,La Habra,1,0,0,1,3,1,1,74.4,229.55,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
4412-YLTKF,Pico Rivera,0,1,0,1,27,1,1,78.05,2135.5,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,High Risk,Long term
6207-WIOLX,Avalon,0,0,1,0,25,0,1,58.6,1502.65,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,Low Risk,Long term
3091-FYHKI,Harbor City,1,0,0,0,1,0,1,35.45,35.45,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,New
2372-HWUHI,Lakewood,1,0,0,0,2,1,0,44.35,81.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
0390-DCFDQ,Los Alamitos,0,1,1,1,1,1,1,70.45,70.45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
4080-OGPJL,San Pedro,0,0,0,0,8,1,0,71.15,563.65,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,High Risk,New
2135-RXIHG,Carson,1,0,0,0,1,1,1,45.65,45.65,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
3874-EQOEP,Long Beach,1,0,0,1,7,1,0,95.0,655.5,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,Medium Risk,New
0867-MKZVY,Altadena,0,0,1,1,20,1,0,82.4,1592.35,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,High Risk,Medium
3376-BMGFE,Monrovia,0,0,0,1,4,1,1,70.9,273.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Low Risk,New
3445-HXXGF,Sierra Madre,1,1,1,0,58,0,1,45.3,2651.2,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,High Risk,Long term
1875-QIVME,Tujunga,0,0,1,1,2,1,1,104.4,242.8,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,High Risk,New
0691-JVSYA,Pasadena,0,0,1,0,53,1,1,94.85,5000.2,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,Low Risk,Long term
2656-FMOKZ,Pasadena,0,1,0,1,15,1,1,74.45,1145.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,Medium
2070-FNEXE,Pasadena,0,1,0,1,7,1,0,76.45,503.6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Low Risk,New
6317-YPKDH,Glendale,0,0,0,0,1,0,0,29.95,29.95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Low Risk,New
9367-WXLCH,Glendale,1,0,0,1,8,1,0,84.5,662.65,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Low Risk,New
1918-ZBFQJ,Glendale,0,0,0,1,13,1,1,79.25,1111.65,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,High Risk,Medium
1024-GUALD,Glendale,0,0,1,0,1,0,1,24.8,24.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
2472-OVKUP,Canoga Park,1,0,1,1,6,1,1,91.0,531.0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,High Risk,New
1285-OKIPP,Mission Hills,1,0,0,1,1,1,0,79.9,79.9,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,New
7825-ECJRF,Santa Clarita,0,0,0,1,19,1,1,106.6,1934.45,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,High Risk,Medium
7841-TZDMQ,Sun Valley,1,0,0,0,2,1,1,46.0,84.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low Risk,New
9408-SSNVZ,Stevenson Ranch,0,0,0,1,4,1,1,70.15,268.35,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
0742-MOABM,Panorama City,1,0,1,0,4,1,0,50.05,179.35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium Risk,New
2232-DMLXU,Van Nuys,0,0,1,0,1,1,0,55.2,55.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Medium Risk,New
8937-RDTHP,Burbank,1,0,0,1,1,1,1,84.6,84.6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,Medium Risk,New
1251-KRREG,North Hollywood,1,0,0,0,2,1,1,54.4,114.1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Medium Risk,New
0094-OIFMO,North Hollywood,0,1,0,1,11,1,1,95.0,1120.3,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,High Risk,New
9947-OTFQU,Covina,1,1,0,0,15,1,1,74.4,1074.3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,Medium
0322-YINQP,Covina,1,0,0,0,1,1,1,48.55,48.55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
4629-NRXKX,El Monte,0,0,1,0,2,1,0,70.4,147.15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
9514-JDSKI,El Monte,1,1,1,0,1,0,0,40.2,40.2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,High Risk,New
4959-JOSRX,La Puente,0,0,1,0,2,1,1,44.6,80.55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low Risk,New
7273-TEFQD,La Puente,1,1,0,0,3,0,1,41.15,132.2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,High Risk,New
3606-TWKGI,Rowland Heights,1,1,0,0,13,1,1,106.9,1364.3,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,High Risk,Medium
6323-AYBRX,Ontario,1,0,0,0,59,1,0,19.35,1099.6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,Medium Risk,Long term
4385-GZQXV,Ontario,0,1,0,0,16,1,1,94.45,1511.2,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,High Risk,Medium
6366-ZGQGL,Pomona,1,0,0,0,1,0,0,24.8,24.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Risk,New
5940-AHUHD,Pomona,1,0,0,0,1,1,0,70.6,70.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
6432-TWQLB,Rosemead,1,0,1,0,5,1,1,85.4,401.1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,High Risk,New
4484-GLZOU,San Dimas,0,0,1,0,52,1,1,105.05,5624.85,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,High Risk,Long term
9512-UIBFX,West Covina,1,0,1,0,18,1,0,95.15,1779.95,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,Medium Risk,Medium
5583-SXDAG,Alhambra,1,0,1,0,1,1,0,70.0,70.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
3488-PGMQJ,Alpine,1,1,0,0,8,1,1,74.5,606.55,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,New
3580-REOAC,Bonita,1,0,0,0,10,1,1,44.85,435.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low Risk,New
7534-BFESC,Boulevard,1,1,0,0,24,1,1,76.1,1712.7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,Medium
6390-DSAZX,Guatay,0,0,0,0,1,1,1,73.6,73.6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
8098-LLAZX,Jacumba,0,1,0,0,4,1,1,95.45,396.1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,High Risk,New
0265-EDXBD,Mount Laguna,1,1,1,0,32,1,1,74.9,2303.35,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,Long term
7563-BIUPC,Borrego Springs,1,0,0,0,5,1,1,80.6,415.55,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,High Risk,New
2321-OMBXY,Carlsbad,0,0,1,0,38,1,0,80.3,3058.65,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,Low Risk,Long term
2840-XANRC,Del Mar,1,1,1,0,24,1,1,93.15,2231.05,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,High Risk,Medium
5020-ZSTTY,El Cajon,0,1,0,0,54,1,0,82.45,4350.1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,Low Risk,Long term
5804-LEPIM,Escondido,0,1,0,0,2,1,1,70.35,139.05,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
0122-OAHPZ,Oceanside,0,0,0,0,7,1,1,73.85,511.25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
2868-SNELZ,Pala,0,0,0,0,2,1,0,80.6,155.8,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,Medium Risk,New
4322-RCYMT,Palomar Mountain,1,0,1,0,68,1,1,75.8,5293.95,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,Low Risk,Long term
6680-NENYN,Pauma Valley,0,0,0,0,43,1,1,104.6,4759.85,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,High Risk,Long term
1343-EHPYB,Ranchita,1,0,1,0,63,1,1,103.4,6603.0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,High Risk,Long term
2034-GDRCN,Valley Center,0,0,0,0,2,1,1,90.4,168.2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,High Risk,New
0219-YTZUE,San Diego,1,0,1,0,4,1,1,84.8,371.9,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Low Risk,New
0623-IIHUG,San Diego,0,1,0,0,21,0,1,41.9,840.1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,High Risk,Medium
4572-DVCGN,San Diego,0,0,0,0,10,1,1,80.25,846.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Low Risk,New
9057-MSWCO,San Diego,1,1,1,0,27,0,0,30.75,805.1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Low Risk,Long term
1010-DIAUQ,San Diego,1,0,0,0,5,1,0,96.5,492.55,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,Low Risk,New
0259-GBZSH,San Diego,1,0,0,0,2,1,1,85.65,181.5,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,High Risk,New
9601-BRXPO,San Diego,0,0,1,0,25,1,1,104.95,2566.5,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,Low Risk,Long term
6905-NIQIN,San Diego,1,0,0,0,1,1,0,50.65,50.65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Medium Risk,New
5167-ZFFMM,Indio,1,0,0,0,1,1,1,90.85,90.85,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,Low Risk,New
4895-TMWIR,Indian Wells,1,1,1,0,11,1,0,19.95,214.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
0533-BNWKF,Palm Desert,0,1,1,0,55,1,1,85.45,4874.7,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,High Risk,Long term
6599-CEBNN,Desert Hot Springs,0,0,0,0,34,1,1,73.95,2524.45,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Low Risk,Long term
0979-PHULV,Holtville,1,0,1,0,69,1,1,99.45,7007.6,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,Low Risk,Long term
4800-VHZKI,Niland,0,0,0,0,1,1,1,19.9,19.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
7989-CHGTL,North Palm Springs,1,0,0,0,1,1,1,19.6,19.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
0334-GDDSO,Ocotillo,1,1,0,0,3,1,1,81.35,233.7,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,New
0578-SKVMF,Seeley,0,0,1,0,22,1,0,83.3,1845.9,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,High Risk,Medium
5564-NEMQO,Thermal,0,1,0,0,1,1,1,75.3,75.3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Low Risk,New
9063-ZGTUY,Adelanto,0,0,1,0,61,1,1,19.4,1182.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,Long term
2957-LOLHO,Apple Valley,1,0,0,0,12,1,1,45.4,518.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Risk,New
7752-XUSCI,Crestline,0,0,0,0,60,1,1,105.9,6396.45,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,High Risk,Long term
4110-PFEUZ,Daggett,0,0,0,0,1,1,0,69.55,69.55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
0256-LTHVJ,Ludlow,0,0,1,0,28,1,1,81.05,2227.1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,Long term
0880-TKATG,Lucerne Valley,1,0,1,0,4,1,0,101.15,385.9,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,High Risk,New
3811-VBYBZ,Lytle Creek,1,0,0,0,7,1,1,99.8,673.25,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,High Risk,New
4640-UHDOS,Phelan,0,0,1,0,13,1,0,55.95,734.35,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,Medium
3583-EKAPL,Redlands,1,0,0,0,1,1,1,55.0,55.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,New
9399-APLBT,Rialto,0,0,1,0,1,1,1,74.7,74.7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,New
2359-KMGLI,Running Springs,1,0,0,0,24,1,1,80.25,1861.5,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,Medium
0306-JAELE,Tecopa,1,0,0,0,5,1,1,96.1,453.4,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,High Risk,New
6227-HWPWX,Victorville,0,0,0,0,15,1,0,69.0,994.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Low Risk,Medium
0447-BEMNG,Wrightwood,0,0,1,0,48,0,1,45.3,2145.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,Low Risk,Long term
5949-XIKAE,San Bernardino,0,0,1,0,8,1,1,83.55,680.05,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,High Risk,New
8372-JUXUI,San Bernardino,1,0,0,0,1,1,1,74.35,74.35,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
0388-EOPEX,Riverside,0,0,1,0,2,1,1,74.4,139.4,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,High Risk,New
8205-OTCHB,Riverside,1,0,0,0,22,0,1,43.75,903.6,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,Low Risk,Medium
6235-VDHOM,Riverside,0,1,0,0,5,0,0,28.45,131.05,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,New
7783-YKGDV,March Air Reserve Base,0,0,0,0,12,1,1,99.7,1238.45,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,Low Risk,New
5609-CEBID,Hemet,0,1,0,0,20,1,1,94.1,1782.4,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,High Risk,Medium
7218-HKQFK,Homeland,1,0,1,0,2,1,1,94.2,167.5,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,High Risk,New
4636-QRJKY,Idyllwild,0,0,1,0,6,1,1,80.5,502.85,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,High Risk,New
5956-VKDTT,Moreno Valley,0,1,1,0,5,1,1,74.35,334.8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
9412-GHEEC,Murrieta,1,0,0,0,40,1,0,104.8,4131.95,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,Low Risk,Long term
0257-ZESQC,Perris,0,1,1,0,27,1,1,75.2,1929.35,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Low Risk,Long term
6825-UYPFK,Sun City,0,0,0,0,23,1,0,75.6,1758.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Low Risk,Medium
8397-MVTAZ,Sun City,1,0,1,0,34,1,1,100.05,3480.0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,High Risk,Long term
9282-IZGQK,Irvine,0,0,0,0,1,1,1,85.0,85.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,New
1342-JPNKI,Lake Forest,1,0,0,0,10,1,1,86.05,834.1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Low Risk,New
2817-NTQDO,Huntington Beach,1,0,0,0,13,0,1,45.55,597.0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,Low Risk,Medium
6986-IJDHX,Huntington Beach,1,0,1,0,39,1,1,86.3,3266.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,Medium Risk,Long term
5301-GAUUY,Newport Beach,1,0,0,0,32,1,1,80.35,2596.15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Low Risk,Long term
0939-YAPAF,Santa Ana,0,0,0,0,35,1,1,100.25,3527.6,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,High Risk,Long term
4710-FDUIZ,Santa Ana,1,0,1,0,56,1,0,100.3,5614.45,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,Low Risk,Long term
1218-VKFPE,Anaheim,0,0,1,0,12,1,0,19.0,233.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
3627-FHKBK,Anaheim,0,0,0,0,1,1,0,75.3,75.3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
2865-TCHJW,Anaheim,0,1,0,0,4,1,1,89.2,346.2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,High Risk,New
5192-EBGOV,Brea,0,1,0,0,1,1,1,85.7,85.7,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,High Risk,New
0719-SYFRB,Norco,0,0,0,0,12,1,1,61.65,713.75,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,Medium Risk,New
3419-SNJJD,Yorba Linda,0,1,1,0,65,1,0,105.25,6786.4,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,Low Risk,Long term
6543-CPZMK,Ventura,1,0,1,0,9,0,1,29.95,248.95,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,New
4765-OXPPD,Ventura,0,0,1,0,9,1,0,65.0,663.05,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,Medium Risk,New
1009-IRMNA,Port Hueneme,0,0,0,0,7,1,0,20.0,137.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low Risk,New
4554-YGZIH,Summerland,1,1,1,0,49,1,0,90.05,4547.25,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,Low Risk,Long term
5099-BAILX,Santa Barbara,1,1,1,0,43,1,1,110.75,4687.9,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,Low Risk,Long term
7207-RMRDB,Santa Barbara,0,0,1,0,65,1,1,105.5,6985.65,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,High Risk,Long term
4913-EHYUI,Alpaugh,1,1,1,0,56,1,1,104.55,5794.65,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,Low Risk,Long term
0195-IESCP,Armona,1,0,1,0,10,1,1,85.25,855.3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,New
4580-TMHJU,Avenal,0,0,1,0,43,1,0,56.15,2499.3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,High Risk,Long term
0970-ETWGE,Bodfish,1,0,0,0,1,1,1,89.55,89.55,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,High Risk,New
1626-ERCMM,Camp Nelson,1,1,1,0,20,1,1,94.55,1899.65,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,High Risk,Medium
0887-HJGAR,Coalinga,1,0,0,0,1,1,1,45.7,45.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
5644-PDMZC,Delano,0,1,0,0,2,1,0,89.5,161.5,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,High Risk,New
9576-ANLXO,Earlimart,0,0,0,0,3,1,1,69.55,222.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Low Risk,New
2024-BASKD,Exeter,0,0,0,0,1,1,1,74.6,74.6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Medium Risk,New
4160-AMJTL,Fellows,0,1,0,0,8,1,0,19.65,164.3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
4464-JCOLN,Huron,1,0,1,0,2,1,0,19.85,35.9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Medium Risk,New
5650-VDUDS,Kernville,0,0,0,0,4,0,1,24.25,96.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
7538-GWHML,Lemon Cove,0,0,0,0,2,1,0,69.65,145.15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
3859-CVCET,Lindsay,0,0,0,0,4,1,0,45.65,191.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
3276-HDUEG,Maricopa,0,0,0,0,1,1,1,75.05,75.05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
0823-HSCDJ,Onyx,1,1,0,0,52,0,1,49.15,2550.9,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,High Risk,Long term
0822-GAVAP,Posey,0,0,0,0,2,0,1,34.7,62.25,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,New
1448-PWKYE,Shafter,1,0,1,0,1,1,0,80.0,80.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,High Risk,New
0067-DKWBL,Tipton,1,1,0,0,2,1,1,49.25,91.1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,High Risk,New
2276-YDAVZ,Wofford Heights,0,0,0,0,3,1,1,75.1,270.7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Low Risk,New
5896-NPFWW,Visalia,1,0,1,0,3,1,1,50.15,168.15,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,High Risk,New
7133-VBDCG,Bakersfield,0,0,0,0,25,1,1,79.85,2015.35,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Low Risk,Long term
1029-QFBEN,San Luis Obispo,1,0,0,0,1,1,0,19.55,19.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
